                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.2031,                 1.3031,                 1.2128,                0.61818,                0.45944,                0.49998,                 0.3501,                 1.1488,                 1.1343,                 1.1508,               0.001684,               0.001684,               0.001684
                     86,                 1.2002,                 1.2978,                 1.2098,                0.62043,                 0.4574,                0.50045,                0.35049,                 1.1483,                 1.1338,                 1.1503,               0.001585,               0.001585,               0.001585
                     87,                  1.197,                 1.2934,                 1.2084,                0.62502,                0.45597,                  0.501,                0.35122,                 1.1478,                 1.1326,                 1.1497,               0.001486,               0.001486,               0.001486
                     88,                 1.1926,                 1.2882,                 1.2052,                0.63564,                 0.4501,                0.50169,                0.35231,                 1.1467,                 1.1319,                 1.1485,               0.001387,               0.001387,               0.001387
                     89,                 1.1902,                 1.2748,                 1.2041,                0.63891,                0.45042,                0.50241,                 0.3528,                 1.1462,                 1.1303,                 1.1479,               0.001288,               0.001288,               0.001288
                     90,                 1.1882,                 1.2739,                 1.2022,                0.63574,                0.45215,                0.50244,                0.35286,                 1.1453,                 1.1298,                  1.147,               0.001189,               0.001189,               0.001189
                     91,                  1.179,                  1.203,                 1.1889,                0.63542,                0.45159,                0.50348,                 0.3535,                 1.1444,                 1.1288,                 1.1465,                0.00109,                0.00109,                0.00109
                     92,                 1.1695,                  1.185,                 1.1834,                0.62007,                 0.4605,                0.50508,                0.35498,                 1.1433,                 1.1276,                 1.1461,               0.000991,               0.000991,               0.000991
                     93,                 1.1639,                 1.1755,                 1.1782,                 0.6209,                0.46111,                0.50767,                0.35698,                 1.1421,                 1.1258,                  1.145,               0.000892,               0.000892,               0.000892
                     94,                 1.1588,                 1.1635,                 1.1765,                0.64587,                 0.4583,                0.50967,                0.35885,                 1.1411,                  1.124,                 1.1441,               0.000793,               0.000793,               0.000793
                     95,                 1.1545,                 1.1534,                 1.1729,                0.64262,                0.46109,                 0.5108,                0.35955,                 1.1399,                 1.1221,                 1.1433,               0.000694,               0.000694,               0.000694
                     96,                 1.1479,                 1.1417,                  1.168,                0.64384,                0.46164,                0.51172,                 0.3608,                  1.139,                 1.1204,                 1.1427,               0.000595,               0.000595,               0.000595
                     97,                 1.1435,                 1.1325,                 1.1654,                0.64178,                0.46344,                0.51229,                 0.3614,                 1.1383,                  1.118,                 1.1421,               0.000496,               0.000496,               0.000496
                     98,                 1.1381,                 1.1219,                 1.1621,                 0.6491,                0.46204,                0.51307,                 0.3623,                 1.1384,                 1.1166,                 1.1417,               0.000397,               0.000397,               0.000397
                     99,                 1.1327,                 1.1121,                 1.1579,                0.65518,                0.46171,                0.51337,                0.36261,                 1.1381,                 1.1155,                 1.1412,               0.000298,               0.000298,               0.000298
                    100,                 1.1271,                 1.1008,                 1.1557,                 0.6556,                0.46368,                0.51461,                0.36315,                 1.1379,                 1.1141,                 1.1408,               0.000199,               0.000199,               0.000199
